iter	Passed	Remaining
832	12410	2488
833	12419	2471
834	12432	2456
835	12447	2441
836	12456	2425
837	12471	2410
838	12485	2396
839	12501	2381
840	12509	2365
841	12525	2350
842	12539	2335
843	12553	2320
844	12568	2305
845	12584	2290
846	12603	2276
847	12619	2261
848	12634	2247
849	12650	2232
850	12665	2217
851	12681	2202
852	12696	2188
853	12711	2173
854	12725	2158
855	12739	2143
856	12754	2128
857	12768	2113
858	12783	2098
859	12797	2083
860	12811	2068
861	12827	2053
862	12845	2039
863	12862	2024
864	12872	2009
865	12888	1994
866	12902	1979
867	12917	1964
868	12931	1949
869	12945	1934
870	12960	1919
871	12974	1904
872	12989	1889
873	13004	1874
874	13019	1859
875	13033	1844
876	13047	1829
877	13062	1815
878	13077	1800
879	13095	1785
880	13111	1771
881	13126	1756
882	13143	1741
883	13159	1726
884	13174	1711
885	13190	1697
886	13205	1682
887	13220	1667
888	13237	1652
889	13252	1637
890	13268	1623
891	13283	1608
892	13298	1593
893	13309	1578
894	13326	1563
895	13343	1548
896	13361	1534
897	13377	1519
898	13392	1504
899	13407	1489
900	13422	1474
901	13437	1459
902	13446	1444
903	13461	1429
904	13477	1414
905	13492	1399
906	13507	1384
907	13522	1370
908	13537	1355
909	13552	1340
910	13568	1325
911	13587	1311
912	13603	1296
913	13621	1281
914	13635	1266
915	13651	1251
916	13666	1236
917	13681	1222
918	13697	1207
919	13706	1191
920	13722	1177
921	13738	1162
922	13753	1147
923	13769	1132
924	13785	1117
925	13800	1102
926	13817	1088
927	13836	1073
928	13853	1058
929	13868	1043
930	13883	1028
931	13898	1014
932	13913	999
933	13928	984
934	13943	969
935	13958	954
936	13974	939
937	13979	924
938	13995	909
939	14010	894
940	14025	879
941	14040	864
942	14056	849
943	14074	834
944	14089	820
945	14104	805
946	14119	790
947	14135	775
948	14150	760
949	14165	745
950	14180	730
951	14194	715
952	14209	700
953	14224	685
954	14232	670
955	14247	655
956	14261	640
957	14277	625
958	14292	611
959	14310	596
960	14328	581
961	14347	566
962	14357	551
963	14366	536
964	14381	521
965	14397	506
966	14412	491
967	14428	476
968	14444	462
969	14459	447
970	14475	432
971	14483	417
972	14499	402
973	14514	387
974	14530	372
975	14546	357
976	14564	342
977	14581	328
978	14596	313
979	14611	298
980	14626	283
981	14641	268
982	14656	253
983	14670	238
984	14685	223
985	14700	208
986	14709	193
987	14723	178
988	14737	163
989	14752	149
990	14766	134
991	14781	119
992	14796	104
993	14806	89
994	14816	74
995	14833	59
996	14848	44
997	14863	29
998	14877	14
999	14892	0
